"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"501";"90100";"PV26   ";"  855570";"   27400";"    32.0";"    8420";"    24.5";"    6870";"    20.0";"    3510";"    10.0";"    8820";"    2620";"    17.5";"    6630";"    24.0";"    75.0";"    3930";"     4.5"
"502";"90100";"PV27   ";" 1885480";"   79220";"    42.0";"   22020";"    22.0";"   18170";"    18.5";"    9570";"     9.5";"   32970";"    7970";"    15.5";"   22560";"    28.5";"    68.5";"    9430";"     5.0"
"503";"90100";"PV28   ";" 2420580";"  122460";"    50.5";"   34820";"    22.5";"   29440";"    19.0";"   14960";"     9.5";"   39030";"   11270";"    16.5";"   30120";"    24.5";"    77.0";"   13570";"     5.5"
"504";"90100";"PV29   ";"  238360";"    8150";"    34.0";"    2740";"    26.0";"    2160";"    20.5";"    1150";"    11.0";"    3210";"     910";"    20.0";"    2440";"    30.0";"    76.0";"    2310";"     9.5"
"505";"90100";"PV30   ";" 1648720";"   53320";"    32.5";"   16740";"    24.5";"   13690";"    20.0";"    7200";"    10.5";"   16720";"    5450";"    18.0";"   12230";"    23.0";"    73.0";"   17280";"    10.5"
"506";"90100";"PV31   ";"  727180";"   30330";"    41.5";"    8990";"    23.0";"    7840";"    20.0";"    3980";"    10.0";"   11970";"    2940";"    17.0";"    9050";"    30.0";"    75.5";"   10080";"    14.0"
"507";"90100";"CR01   ";"   92720";"    5250";"    56.5";"    1910";"    27.5";"    1420";"    20.5";"     710";"    10.0";"    3630";"     810";"    15.5";"    3030";"    57.5";"    83.5";"    2650";"    28.5"
"508";"90100";"CR02   ";"   29280";"    1800";"    61.5";"     650";"    26.5";"     520";"    21.5";"     270";"    11.0";"     460";"     130";"    14.5";"     400";"    22.5";"    86.5";"     450";"    15.5"
"509";"90100";"CR03   ";"  271030";"   15390";"    57.0";"    4650";"    23.5";"    3950";"    20.0";"    2160";"    11.0";"    5930";"    1510";"    17.0";"    4730";"    30.5";"    80.0";"    2470";"     9.0"
"510";"90100";"CR04   ";"  209610";"   11300";"    54.0";"    3530";"    25.0";"    2740";"    19.0";"    1400";"    10.0";"    3600";"     900";"    16.0";"    2840";"    25.0";"    79.0";"    2150";"    10.5"
"511";"90100";"CR05   ";"   84600";"    3550";"    42.0";"    1080";"    23.5";"     930";"    20.5";"     520";"    11.5";"    1530";"     370";"    16.5";"    1190";"    33.5";"    78.0";"     700";"     8.5"
"512";"90100";"CR06   ";"  118020";"    5490";"    46.5";"    1900";"    26.5";"    1560";"    22.0";"     860";"    12.0";"    2130";"     760";"    24.0";"    1640";"    30.0";"    77.0";"    1380";"    11.5"
"513";"90100";"CR07   ";"  119810";"    4300";"    36.0";"    1860";"    31.5";"    1320";"    22.0";"     760";"    13.0";"    1730";"     520";"    17.5";"    1170";"    27.5";"    68.0";"    1250";"    10.5"
"514";"90100";"CR08   ";"  106770";"    5500";"    51.5";"    1610";"    22.5";"    1420";"    20.0";"     790";"    11.0";"    2640";"     890";"    20.0";"    2170";"    39.5";"    82.0";"    1600";"    15.0"
