"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"1184","90200","GM0797 ","    8320","      50","     6.0","      10","    10.0","      10","    21.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1185","90200","GM0534 ","    4290","      30","     6.0","       0","       .","      10","    23.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1186","90200","GM0798 ","    3170","      10","     1.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1187","90200","GM0402 ","   16300","     210","    12.5","      30","    14.5","      30","    14.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1188","90200","GM1735 ","    8250","      40","     4.5","       0","       .","      10","    33.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1189","90200","GM1911 ","    9120","      30","     3.5","      10","    19.5","      10","    25.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1190","90200","GM0118 ","   11110","     100","     9.0","      10","    11.0","      20","    19.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1191","90200","GM0018 ","    7210","     130","    18.0","      20","    13.0","      30","    18.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1192","90200","GM0405 ","   12820","     240","    18.5","      20","     7.5","      30","    12.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1193","90200","GM1507 ","    8270","      40","     4.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1194","90200","GM0321 ","    6320","      50","     7.5","       0","       .","      10","    10.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1195","90200","GM0406 ","    8690","     140","    15.5","      10","     8.0","      10","     9.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1196","90200","GM0677 ","    6360","      40","     7.0","      10","    24.0","      10","    22.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1197","90200","GM0353 ","    5430","      60","    10.5","       0","       .","      10","    13.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1198","90200","GM1884 ","    5100","      20","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1199","90200","GM0166 ","    8420","      60","     7.0","      10","    20.0","      20","    23.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1200","90200","GM0678 ","    2400","      10","     4.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1201","90200","GM0537 ","   10680","      70","     6.5","      10","     8.5","      10","    12.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1202","90200","GM0928 ","   10750","     160","    15.0","      20","    11.5","      50","    24.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1203","90200","GM1598 ","    4240","      20","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1204","90200","GM0079 ","    2360","      10","     3.0","       0","       .","      10","    40.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1205","90200","GM0588 ","    2200","       0","       .","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1206","90200","GM0542 ","    6640","      70","    11.0","      10","    14.5","      10","    13.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1207","90200","GM1931 ","   10960","      60","     5.5","      10","     7.0","      10","    17.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1208","90200","GM1659 ","    4530","      20","     3.5","       0","       .","      10","    28.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1209","90200","GM1685 ","    3050","      10","     2.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1210","90200","GM0882 ","    8630","      70","     8.5","      10","    14.5","      30","    32.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1211","90200","GM0415 ","    2220","      10","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1212","90200","GM0416 ","    5150","      20","     4.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
