"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instromers_4","Instromers_5","Uitstromers_6","Uitstromers_7","UitstromersNaarWerk_8","UitstromersNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkendenNaReIntegratie_11","WerkendenNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"478","20150","AM29  ","  230620","    6250","    27.0","    2120","    26.0","    1900","    23.5","     990","    13.0","    1420","     410","    26.5","     730","    12.5","    51.0","    2270","    10.0"
"479","20150","AM30  ","  525720","   20750","    39.5","    5930","    22.5","    5180","    20.0","    2140","     8.5","    6790","    1580","    17.5","    5160","    27.0","    76.0","    6430","    12.0"
"480","20150","AM31  ","  247050","    5680","    23.0","    1820","    25.0","    1490","    20.5","     740","    11.0","    2850","     670","    21.0","    2100","    41.0","    73.5","    1190","     5.0"
"481","20150","AM32  ","  206640","    5650","    27.5","    1730","    24.0","    1540","    21.5","     720","    11.0","    1270","     520","    16.0","    1060","    20.5","    83.5","    1920","     9.5"
"482","20150","AM33  ","  202300","    5280","    26.0","    1900","    27.5","    1510","    22.0","     680","    10.5","    3120","     690","    17.5","    2560","    53.5","    82.0","    1890","     9.5"
"483","20150","AM34  ","  294010","    8100","    27.5","    2670","    25.5","    2330","    22.5","    1150","    12.0","    3860","    1010","    17.0","    2830","    39.5","    73.5","     790","     2.5"
"484","20150","AM35  ","  116090","    2100","    18.0","     700","    26.5","     570","    21.5","     260","    11.0","    1060","     260","    18.0","     910","    48.0","    85.5","     600","     5.0"
"485","90100","NL01  ","11148080","  448680","    40.0","  148250","    25.5","  125960","    21.5","   59780","    10.5","  165440","   43480","    17.0","  126710","    28.0","    76.5","   96370","     8.5"
"486","90100","LD01  "," 1108940","   53470","    48.0","   18670","    26.0","   16110","    22.5","    8340","    11.5","   23550","    6290","    18.5","   18860","    35.5","    80.0","   14560","    13.0"
"487","90100","LD02  "," 2333090","   83820","    36.0","   28740","    26.5","   23650","    21.5","   11930","    11.0","   35090","    9340","    18.5","   27420","    32.5","    78.0","   21890","     9.5"
"488","90100","LD03  "," 5343980","  229820","    43.0","   71400","    24.5","   58970","    20.0","   28750","    10.0","   77680","   20330","    16.0","   58000","    25.0","    74.5","   30840","     6.0"
"489","90100","LD04  "," 2362060","   81150","    34.5","   27150","    26.0","   21730","    20.5","   10760","    10.5","   29120","    7520","    18.0","   22420","    27.5","    77.0","   28860","    12.0"
"490","90100","PV20  ","  392750","   21800","    55.5","    7580","    26.0","    6560","    22.5","    3440","    12.0","    9660","    2440","    17.5","    7980","    36.5","    82.5","    5900","    15.0"
